date,min,max,median,q1,q3,stdev,count
2024-12-10T00:00:00.000Z,1.35,3.87,1.87,1.48,1.98,0.793,7
2024-12-11T00:00:00.000Z,0.98,9.14,5.58,1.94,7.2,2.76,18
2024-12-12T00:00:00.000Z,1.77,29.61,14.01,8.01,17.86,7.485,18
2024-12-13T00:00:00.000Z,11.79,33.47,27.23,25.04,31.73,6.164,18
2024-12-14T00:00:00.000Z,2.29,30.82,11.91,4.12,27.11,10.626,18
2024-12-15T00:00:00.000Z,0.57,7.37,3.24,1.96,4.58,1.699,18
2024-12-16T00:00:00.000Z,0.28,4.41,1.24,0.39,2.48,1.426,18
2024-12-17T00:00:00.000Z,4.47,16.23,9.02,6.03,12.79,3.587,18
2024-12-18T00:00:00.000Z,1.08,14.34,2.16,1.39,3.37,3.209,18
2024-12-19T00:00:00.000Z,0.28,4.43,1.23,0.57,2.25,1.197,18
2024-12-20T00:00:00.000Z,1.96,6.59,2.7,2.15,3.59,1.257,17
2024-12-21T00:00:00.000Z,1.19,8.8,3.04,2.27,5.54,2.172,18
2024-12-22T00:00:00.000Z,0.5,4.55,1.17,1.08,3.91,1.495,18
2024-12-23T00:00:00.000Z,2.23,12.24,3.63,2.7,8.07,3.306,18
2024-12-24T00:00:00.000Z,13.78,23.63,17.82,16.32,19.52,2.523,18
2024-12-25T00:00:00.000Z,1.1,22.78,11.12,7.98,17.7,6.493,18
2024-12-26T00:00:00.000Z,6.6,28.81,18.51,15.15,23.16,6.078,18
2024-12-27T00:00:00.000Z,10.65,26.62,20.85,18.93,22.99,3.779,18
2024-12-28T00:00:00.000Z,13.63,24.05,19.97,17.05,21.74,3.022,18
2024-12-29T00:00:00.000Z,4.63,19.1,10.88,8.47,12.57,3.533,14
2024-12-30T00:00:00.000Z,1.96,5.14,2.65,2.29,3.3,0.804,16
2024-12-31T00:00:00.000Z,1.08,5.26,2.65,1.79,4,1.243,18
2025-01-01T00:00:00.000Z,0.28,4.84,1.24,0.89,2.37,1.163,18
2025-01-02T00:00:00.000Z,1.46,10.91,4.36,2.39,5.68,2.679,18
2025-01-03T00:00:00.000Z,2.46,28.22,10.54,7.06,16.05,7.793,18
2025-01-04T00:00:00.000Z,7.66,23.97,14.01,10.74,16.2,4.244,18
2025-01-05T00:00:00.000Z,0.79,18.2,2.81,1.35,12.01,5.995,18
2025-01-06T00:00:00.000Z,0.39,4.59,2.13,0.98,3.23,1.28,18
2025-01-07T00:00:00.000Z,0.96,10.21,3.18,2.15,6.84,2.835,17
2025-01-08T00:00:00.000Z,4.8,26.13,10.17,6.7,14.5,7.118,18
2025-01-09T00:00:00.000Z,6.97,25.94,17.11,11.49,20.47,5.152,21
2025-01-10T00:00:00.000Z,17.73,62.56,31.55,22.64,38.15,11.48,24
2025-01-11T00:00:00.000Z,36.7,81.4,56.17,54.6,65.95,11.658,24
2025-01-12T00:00:00.000Z,13.8,83.9,44.61,20.3,60.1,23.461,24
